name,latitude,longitude,address,website
Aberdeen Library,-32.164844,150.898483,"Moray Street,  Aberdeen   NSW   2236",http://www.uhrl.nsw.gov.au/
Adamstown Library,-32.935287,151.72566,"Brunker Rd & Victoria St,  Adamstown  NSW   2289",http://www.newcastle.nsw.gov.au/discover_newcastle/visit_our_libraries
Adelong Library,-35.308859,148.066289,"Tumut Street ,Adelong   NSW  2729",http://www.rrl.nsw.gov.au/
Albion Park Library,-34.573339,150.773902,"Russell Street, Albion Park NSW 2527",http://www.shellharbour.nsw.gov.au/default.aspx?WebPage=211
Albury Library,-36.081696,146.915457,"Kiewa Street,  Albury  NSW  2640",http://www.alburycity.nsw.gov.au/www/html/101-librarymuseum.asp
Alstonville Library,-28.838339,153.441074,"Alstonville Leisure & Entertainment Centre, Commercial Road, Alstonville  NSW   2477",http://www.rtrl.nsw.gov.au/site/index.php
Ariah Park,-34.348105,147.221222,"Coolamon Street , Ariah Park  NSW   2665",http://www.rrl.nsw.gov.au/
Armidale Dumaresq Council War Memorial Library,-30.514375,151.666663,"122 Faulkner Street,  Armidale  NSW   2350",http://www.armidale.nsw.gov.au/library.html
Arncliffe Library,-33.935856,151.146861,"11 Firth Street, Arncliffe NSW  2205",http://www.rockdale.nsw.gov.au/library/Pages/Library.aspx
Artarmon Library,-33.808305,151.185199,"2 Elizabeth Street, Artarmon  NSW   2064",http://www.willoughby.nsw.gov.au/Library.html
Ashfield Municipal Library,-33.88959,151.124242,"Level 1 Civic Centre, 260 Liverpool Road, Ashfield  NSW  2131",http://www.ashfield.nsw.gov.au/page/library.html
Auburn Library,-33.85335,151.033156,"1 Susan Street, Auburn NSW  2144",http://www.auburn.nsw.gov.au/page.aspx?id=464&
Ballina Library,-28.866456,153.550529,"River Street, Ballina  NSW   2478",http://www.rtrl.nsw.gov.au/site/index.php
Balmain Library,-33.856776,151.176818,"370 Darling Street, Balmain  NSW  2041",http://www.leichhardt.nsw.gov.au/Library.html
Balranald Library,-34.637327,143.561896,"We Street, Balranald  NSW  2715",http://www.balranald.nsw.gov.au/
Bankstown Library,-33.91602,151.034454,"62 The Mall, Bankstown  NSW  2200",http://www.bankstown.nsw.gov.au/Library/default.aspx
Barham Library,-35.630442,144.126933,"15 Murray Street, Barham  NSW   2732",http://www.wakool.local-e.nsw.gov.au/library.html
Barooga Library,-35.907332,145.685326,"Golf Links Road,Barooga  NSW   3644",http://berriganshire.local-e.nsw.gov.au/library.html
Barraba Library,-30.379244,150.610982,"108 Queen Street, Barraba NSW   2347",http://www.cnl.nsw.gov.au/
Bateman's Bay Library,-35.722092,150.192833,"Hanging Rock Place, Bateman's Bay  NSW  2536",http://www.esc.nsw.gov.au/index.asp
Bathurst Library,-33.422263,149.579896,"70-78 Keppel Street, Bathurst  NSW  2795",http://www.bathurst.nsw.gov.au/index.php/community/bathurst-library
Batlow Library,-35.52155,148.147348,"Pioneer Street, Batlow  NSW   2730",http://www.rrl.nsw.gov.au/
Baulkham Hills,-33.759016,150.995918,"Railway Street, Baulkham Hills  NSW   2135",http://www.thehills.nsw.gov.au/Library.html
Bay Village Library,-33.374827,151.473387,"Bay Village Shopping Centre, Entrance Road, Bateau Bay  NSW  2261",http://www.wyong.nsw.gov.au/libraries/libraries_home.html
Bega Valley Shire Council,-36.675603,149.842956,"Zingel Place, Bega  NSW   2550",http://www.begavalley.nsw.gov.au/Community/Library_Services/Library.htm
Bellingen Library,-30.452309,152.897552,"Hyde Street, Bellingen NSW  2454",http://www.crl.nsw.gov.au/
Belmont Library,-33.036775,151.661115,"19 Ernest Street, Belmont NSW  2280",http://www.lakemac.com.au/page.aspx?pid=144&vid=11
Belrose Library,-33.739738,151.214883,"Glenrose Place, Belrose  NSW   20785",http://www.wls.nsw.gov.au/
Beresfield Library,-32.928463,151.748383,"Lawson Avenue, Adamstown  NSW   2289",http://www.newcastle.nsw.gov.au/discover_newcastle/visit_our_libraries
Bermagui Library,-36.431599,150.075004,"Bermagui Community Centre, Bunga Street, Bermagui  NSW  2546",http://www.begavalley.nsw.gov.au/Community/Library_Services/Library.htm
Berowra Library,-33.618918,151.154367,"Community Centre, The Gully Rd, Berowra NSW 2081",http://www.thehills.nsw.gov.au/Library.html
Berrigan Shire Library Service,-35.657529,145.809471,"52-54 Chanter Street, Berrigan  NSW  2712",http://berriganshire.local-e.nsw.gov.au/library.html
Bexley,-33.950626,151.125382,"499 Forest Road, Bexley NSW  2207",http://www.rockdale.nsw.gov.au/library/Pages/Library.aspx
Bexley North Library,-33.938341,151.112196,"24 Shaw Street, Bexley North NSW  2207",http://www.rockdale.nsw.gov.au/library/Pages/Library.aspx
Bingara Library,-29.868424,150.572125,"39 Maitland Street, Bingara NSW  2404",http://www.norl.org/
Blackheath Library,-33.62563,150.279705,"Community Hall, Great Western Highway, Blackheath NSW 2785",http://www.bmcc.nsw.gov.au/yourcommunity/library
Blacktown City Libraries,-33.771815,150.908261,"Max Webber Library, Civic Plaza, Cnr Flushcombe Road & Alpha Street,Blacktown NSW  2148",http://www.libraries.blacktown.nsw.gov.au/
Bland Shire Library,-33.923544,147.202465,"Council Chambers, Shire Street, West Wyalong NSW 2671",http://www.blandshire.nsw.gov.au/library.html
Blaxland Library,-33.745536,150.611131,"Community Centre, 33 Hope Street, Blaxland  NSW  2785",http://www.bmcc.nsw.gov.au/yourcommunity/library
Blayney Library,-33.532319,149.255263,"Adelaide Street, Blayney NSW 2799",http://www.cwl.nsw.gov.au/
Boggabri Library,-30.710225,150.041493,"22 Wee Waa Street, Boggabri NSW 2382",http://www.cnl.nsw.gov.au/
Bombala Library,-36.914863,149.234338,"Maybe Street, Bombala NSW 2632",http://www.monaro.nsw.gov.au/
Boorowa Library,-34.437163,148.722147,"Pudman Street, Boorowa NSW 2586",http://www.young.nsw.gov.au/library.htm
Bourke Public Library,-30.090215,145.948376,"46 Mitchell Street, Bourke NSW 2840",www.bourkelibrary.com.au
Bowral Library,-34.481364,150.419623,"Bendooley Place, Bendooley street Bowral  2576",http://www.library.wsc.nsw.gov.au/
Braidwood Library,-35.442845,149.799757,"Park Lane, Braidwood NSW 2622",http://www.qcc.nsw.gov.au/page.aspx?page=75
Brewarrina Library,-29.964592,146.85708,"21 Young Street, Brewarrina NSW 2839",http://www.norl.org/
Brighton Le Sands Library,-33.958921,151.155129,"1 Moate Avenue, Brighton Le Sands NSW 2216",http://www.rockdale.nsw.gov.au/library/Pages/Library.aspx
Broken Hill City Library,-31.954749,141.468911,"Blende Street, Broken Hill 2880",www.bhlibrary.org.au
Brunswick Heads,-28.54022,153.548031,"Fingal Street, Brunswick Heads NSW 2483",http://www.rtrl.nsw.gov.au/site/index.php
Bulli Library,-34.325171,150.912445,"Princes Highway, Bulli NSW 2516",http://www.wollongong.nsw.gov.au/library.asp
