name,address,suburb,phone,latitude,longitude
Gosford Hospital,Holden Street,Gosford,02 4320 2111,-33.423386,151.340134
Long Jetty Health Care Facility,Wyong Road,Killarney Vale,02 4336 7700,-33.364819,151.460083
Woy Woy Public Hospital,Ocean Beach Road,Woy Woy,02 4344 8444,-33.491688,151.320953
Wyong Public Hospital,Pacific Highway,Kanwal,02 4394 8000,-33.262169,151.482224
Wollongong Hospital,Loftus Street,Wollongong,02 4222 5000,-34.4244,150.886444
Shellharbour Hospital,15-17 Madigan Boulevarde,Mt Warrigal,02 4295 2500,-34.550356,150.842285
Shoalhaven Hospital,Shoalhaven Street,Nowra,02 4421 3111,-34.873154,150.595947
Kiama Hospital and Community Health Service,Bonaira Street,Kiama,02 4233 1033,-34.682308,150.850754
Milton Ulladulla Hospital,106 Princes Highway,Milton,02 4455 1333,-35.31768,150.438324
Port Kembla Hospital,Cowper Street,Port Kembla,02 4223 8000,-34.486317,150.896225
Bulli Hospital,Hospital Road,Bulli,02 4284 4344,-34.336632,150.909302
Coledale District Hospital,636 Lawrence Hargrave Drive,Coledale,02 4267 2266,-34.282772,150.95253
David Berry Hospital,85 Tannery Road,Berry,02 4464 1001,-34.774582,150.704346
Blue Mountains District ANZAC Memorial Hospital,Cnr Woodlands Road and Great Western Hwy,Katoomba,02 4784 6500,-33.711071,150.311783
Portland Tabulam Health Centre,20 Green Street,Portland,02 6359 2666,-33.356911,149.979416
Nepean Hospital,Derby Street,Kingswood,02 4734 2000,-33.762489,150.718964
Lithgow Integrated Health Service,Col Drewe Drive,Lithgow,02 6350 2300,-33.500111,150.128799
Springwood Hospital,Huntley Grange Road,Springwood,02 4751 0300,-33.691593,150.571609
Royal North Shore Hospital,Pacific Highway,St Leonards,02 9926 7111,-33.824203,151.192123
Ryde Hospital,Denistone Road,Eastwood,02 9874 0199,-33.792679,151.08812
Neringah Hospital,4-12 Neringah Avenue South,Wahroonga,02 9488 2200,-33.717865,151.114914
Hornsby Ku-ring-gai Hospital,Palmerston Rd,Hornsby,02 9477 9123,-33.702103,151.111435
Greenwich Hospital,River Road,Greenwich,02 9903 8305,-33.827129,151.187714
Manly Hospital,Darley Road,Manly,02 9976 9611,-33.798466,151.286057
Mona Vale Hospital,Coronation Street,Mona Vale,02 9998 0333,-33.687611,151.304626
Prince of Wales Hospital,Barker Street,Randwick,02 9382 2222,-33.919071,151.23851
Calvary Health Care Sydney,91-111 Rocky Point Road,Kogarah,02 9553 3111,-33.975208,151.13652
Gower Wilson - Multi-Purpose Service,Lord Howe Island,Lord Howe Island,02 6563 2000,-31.558001,159.085999
War Memorial Hospital,125 Birrell Street,Waverley,02 9369 0100,-33.896572,151.254318
Royal Hospital for Women,Barker Street,Randwick,02 9382 6111,-33.919071,151.23851
St George Hospital,Belgrave Street,Kogarah,02 9113 1111,-33.963974,151.132721
Sutherland Hospital & Community Health Service,Cnr The Kingsway and Kareena Road ,Caringbah,02 9540 7111,-34.040096,151.112122
Sydney Hospital & Sydney Eye Hospital,8 Macquarie Street,Sydney,02 9382 7111,-33.860085,151.213303
Queen Victoria Memorial Home,615 Thirlmere Way,Picton,02 4683 6900,-34.185738,150.589264
Camden Hospital,Menangle Road,Camden,02 4634 3000,-34.056595,150.696457
Campbelltown Hospital,Therry Road,Campbelltown,02 4634 3000,-34.081158,150.808044
Carrington Centennial Hospital,90 Werombi Road,Camden,02 4659 0590,-34.050873,150.669693
Fairfield Hospital,Cnr Polding Street & Prairievale Road,Fairfield,02 9616 8111,-33.863991,150.954117
Bowral Hospital,Mona road,Bowral,02 4861 0200,-34.484978,150.424622
Braeside Hospital,340 Prairie Vale Road,Prairiewood,02 9616 8600,-33.860573,150.901932
Bankstown Lidcombe Hospital,Eldridge Road,Bankstown,02 9722 8000,-33.932652,151.027145
Liverpool Hospital,Cnr Elizabeth & Goulburn Street,Liverpool,02 8738 3000,-33.919643,150.928833
Balmain Hospital,29 Booth Street,Balmain,02 9395 2111,-33.860836,151.182022
Concord Repatriation General Hospital,Hospital Rd,Concord,02 9767 5000,-33.839252,151.088867
Canterbury Hospital,Canterbury Road,Campsie,02 9787 0000,-33.916367,151.108917
Royal Prince Alfred Hospital,Missenden Road,Camperdown,02 9515 6111,-33.888622,151.181595
Westmead Hospital,Cnr Hawkesbury & Darcy Road,Westmead,02 9845 5555,-33.814514,150.98465
Auburn Hospital & Community Health Services,Hargrave Road,Auburn,02 8759 3000,-33.858307,151.032867
Blacktown Hospital,Blacktown Road,Blacktown,02 9881 8000,-33.773819,150.915283
Mount Druitt Hospital,75 Railway St,Mount Druitt,02 9881 1555,-33.764645,150.831055
Broken Hill Base Hospital,Thomas Street,Broken Hill,08 8080 1333,-31.946787,141.457687
Balranald District Hospital,Market Street,Balranald,03 5020 1606,-34.642921,143.567596
Wilcannia Multi-Purpose Service,14 Ross Street,Wilcannia,08 8083 8777,-31.556761,143.385101
Wentworth District Hospital,Silver City Hwy,Wentworth,03 5027 2345,-33.999489,141.857544
Calvary Mater Newcastle,20 Edith Street,Waratah,02 4921 1211,-32.900021,151.721176
Werris Creek Community Hospital,North Street,Werris Creek,02 6768 6600,-31.347075,150.647614
Wee Waa Community Hospital,Alma Street,Wee Waa,02 6795 0400,-30.228371,149.44017
