university/school name,address,latitude, longitude:
Macquarie University,Macquarie University NSW 2109 ,/,/
 Charles Sturt University ,63 Oxford Street  Darlinghurst NSW 2010,-33.878273,151.214561
"The University of Notre Dame Australia, Sydney campus",104 Broadway  Chippendale NSW 2008,-33.884657,151.198102
University of New South Wales,High St  Kensington NSW 2052,-33.917571,151.230201
"University of Newcastle, Newcastle campus",10 Chittaway Rd  Ourimbah NSW 2258,-33.357735,151.37769
"University of Newcastle, Sydney campus",60 Bathurst St  Sydney NSW 2000,-33.87376,151.204396
"University of Sydney, Sydney",City Rd  Darlington NSW 2008,/,/
University of Technology,15 Broadway  Ultimo NSW 2007,-33.883358,151.201749
"University of Western Sydney, Penrith campus",Cnr of Second Avenue and O'Connell St  Kingswood NSW 2747,-33.765467,150.734607
"University of Western Sydney, Hawkesbury campus",Bourke St  Richmond NSW 2753,-33.606256,150.755421
"University of Western Sydney, Bankstown campus",Bullecourt Ave  Milperra NSW 2214,-33.940049,150.992099
"University of Western Sydney, Parramatta campus",Corner James Ruse Drive and Victoria Road Rydalmere Parramatta NSW 2116,-33.808579,151.02109
"University of Western Sydney, Campbelltown campus",Goldsmith Ave  Campbelltown NSW 2560,-34.070134,150.792393
"University of Western Sydney, Blacktown campus",Eastern Rd  Quakers Hill NSW 2763,-33.726098,150.879448
"University of Wollongong, Wollongong campus",Northfields Ave  Wollongong NSW 2522,-34.406724,150.878064
"University of Wollongong, Sydney campus",1 Macquarie Place  Sydney NSW 2000,-33.862028,151.209436
"University of Wollongong, Shoalhaven campus",George Evans Rd  Nowra NSW 254,-34.888114,150.568267
"University of Wollongong, Southern Sydney campus",1 Pitt Street  Loftus NSW 2232,-34.044668,151.051485
" Australian Catholic University, Strathfield campus",25A Barker Rd  Strathfield NSW 2135,-33.876362,151.076709
" Australian Catholic University, North Sydney campus",40 Edward St North Sydney NSW 2060,-33.837217,151.203895
Kaplan international college Sydney,98-104 Goulburn St  Sydney NSW 2000,-33.878415,151.209978
Navitas English,11 York Street  Sydney NSW 2000,-33.865329,151.205627
ThinkGroup,171 Pacific Hwy  North Sydney NSW 2060,-33.837792,151.20633
Sydney Institute (TAFE) Petersham,27 Crystal St  Petersham NSW 2049,-33.889744,151.158494
Sydney Institute (TAFE) Enmore,110 Edgeware Rd  Enmore NSW 2042,-33.902889,151.172301
Sydney Institute (TAFE) HayMarket,Mary Ann St  Ultimo NSW 2007,-33.881025,151.199876
