lga_code,lga_name,crime_sum_2011,crime_5yr_sum,crime_avgyr,populations,rate_5yr_avg,rank_5yr_avg,rate_2011,rank_2011
11150,Bourke,1475,6828,1366,3085,44.3,153,47.8,153
11200,Brewarrina,689,3447,689,1895,36.4,152,36.4,152
17200,Sydney,54377,282517,56503,183494,30.8,151,29.6,151
11700,Central Darling,615,3117,623,2108,29.6,150,29.2,150
12150,Coonamble,1203,4892,978,4274,22.9,147,28.1,149
17900,Walgett,1703,9158,1832,6860,26.7,149,24.8,148
15300,Moree Plains,3239,17481,3496,14189,24.6,148,22.8,147
17950,Warren,618,2832,566,2877,19.7,146,21.5,146
15800,Narrandera,1022,4909,982,6123,16,144,16.7,145
12500,Deniliquin,1198,5641,1128,7317,15.4,141,16.4,144
11750,Cobar,770,3860,772,4931,15.7,143,15.6,143
16150,Orange,6162,28117,5623,39480,14.2,137,15.6,142
11500,Campbelltown,23383,111065,22213,151221,14.7,138,15.5,141
18200,Wentworth,1042,5307,1061,6787,15.6,142,15.4,140
11350,Byron,4726,25828,5166,30825,16.8,145,15.3,139
12950,Gilgandra,692,3056,611,4534,13.5,132,15.3,138
18150,Wellington,1360,6573,1315,8937,14.7,139,15.2,137
11250,Broken Hill,2840,13470,2694,19125,14.1,136,14.8,136
14600,Lachlan,998,4722,944,6758,14,135,14.8,135
10300,Balranald,344,1470,294,2361,12.5,123,14.6,134
15850,Narromine,952,4305,861,6929,12.4,122,13.7,133
16200,Parkes,2064,9862,1972,15084,13.1,130,13.7,132
13550,Gunnedah,1710,7944,1589,12515,12.7,127,13.7,131
12600,Dubbo,5392,28147,5629,40491,13.9,134,13.3,130
17310,Tamworth Regional,7746,35780,7156,58351,12.3,120,13.3,129
15900,Newcastle,20411,105379,21076,154896,13.6,133,13.2,128
17100,Strathfield,4887,21601,4320,37141,11.6,115,13.2,127
14350,Kempsey,3705,19001,3800,29188,13,129,12.7,126
10200,Auburn,9845,44771,8954,78286,11.4,114,12.6,125
12900,Forbes,1180,6990,1398,9471,14.8,140,12.5,124
18750,Young,1546,7565,1513,12514,12.1,118,12.4,123
17750,Wagga Wagga,7511,38956,7791,61509,12.7,126,12.2,122
10050,Albury,6040,33040,6608,49467,13.4,131,12.2,121
11300,Burwood,4119,19100,3820,34305,11.1,110,12,120
12350,Cowra,1496,8140,1628,12526,13,128,11.9,119
